landmark,lat,long
Free Union,38.15593819,-78.57250399
CHO,38.1395,-78.4516
Keswick,38.0134,-78.3586
Hollymead,38.11672891,-78.44106996
Stony Point, 38.1129,-78.3714
#Earlysville,38.1529,-78.4624
Shadwell,38.013668,-78.39661204
#Village of Rivanna,38.1249,-78.4608
Ivy,38.05694686,-78.59768768
Crozet,38.06868714,-78.70236766
Batesville,37.99607841,-78.7238997
North Garden,37.94220141,-78.63318165
Esmont,37.8362559,-78.6114222
#Lake Monticello,37.91530235,-78.32650121
#Ruckersville,38.2331812,-78.37164337
Scottsville,37.79843813,-78.49834541
#Waynesboro,38.07078111,-78.88869664
White Hall,38.11801447,-78.65404826
